doc_id,path,single,pages,source_type,extraction_status,scope,scope_review,language,yield_per_page
AE_UAE_001,AE_UAE_cbdc-short-report_july.pdf,False,15,official,extracted,retail_or_general,,en,2.73
AE_UAE_002,AE_UAE_cbuae-launches-the-central-bank-digital-currency-strategy-the-digital-dirham-en.pdf,False,2,official,extracted,retail_or_general,,en,2.0
AE_UAE_003,AE_UAE_cbuae-unveils-new-dirham-symbol-en.pdf,False,3,official,extracted,retail_or_general,,en,2.33
AM_ARM_001,AM_Armenia_archived_CBDC_26.06.2023.pdf,True,26,official,extracted,retail_or_general,,en,0.35
AU_RBA_001,AU_RBA_australian-cbdc-pilot-for-digital-finance-innovation-project-report.pdf,False,44,pseudo_official,extracted,retail_or_general,,en,3.05
AU_RBA_002,AU_RBA_australian-cbdc-pilot-for-digital-finance-innovation-white-paper.pdf,False,15,pseudo_official,extracted,retail_or_general,,en,1.8
AU_RBA_003,AU_RBA_project-acacia-consultation-paper-2024-11.pdf,False,46,official,extracted,retail_or_general,,en,1.04
AW_ARU_001,AW_Aruba_readBlob.do_5decead7.pdf,True,250,official,extracted,retail_or_general,,en,0.2
BIS_Pakistan_2022,BIS_r220206m.pdf,True,13,official,extracted,framework,REVIEW,en,0.0
BO_BCB_Boliviano_Digital_2025,BO_Bolivia_BCB_Primer_Informe_Boliviano_Digital_2025.pdf,True,63,official,extracted,retail_or_general,,es,1.17
BR_Brazil_2023,BR_Brazil_Digital_Brazilian_Real_Press_Conference_Guidelines_Pilot_RD_Mar2023.pdf,True,19,official,extracted,retail_or_general,,en,0.47
BS_Bahamas_SandDollar_2019,BS_Bahamas_Project_Sanddollar_2019.pdf,True,33,official,extracted,retail_or_general,,en,1.79
CA_BoC_2017,CA_BoC_sdp2017-16.pdf,False,30,pseudo_official,extracted,retail_or_general,,en,1.37
CA_Jasper_III_2018,CA_Payments_jasper_phase_iii_whitepaper_EN.pdf,False,40,pseudo_official,extracted,wholesale,REVIEW,en,0.82
CA_Jasper_Phase12_2017,CA_Payments_jasper_report_eng.pdf,False,70,pseudo_official,extracted,wholesale,REVIEW,en,1.47
CA_Jasper_Primer_2017,CA_Payments_project_jasper_primer_EN.pdf,False,5,pseudo_official,extracted,wholesale,REVIEW,en,0.2
CN_China_2021,CN_China_PBoC_e-CNY_white_paper_2021.pdf,False,16,official,extracted,retail_or_general,,en,3.12
CN_China_BIS_2022,CN_China_PBoC_e-CNY_BIS_bispap123.pdf,False,214,pseudo_official,extracted,retail_or_general,,en,1.34
CO_Colombia_2022,CO_Colombia_btaboada-congreso-derecho-financiero-asobancaria-sept-2022.pdf,True,25,official,extracted,retail_or_general,,es,0.12
CZ_CzechRepublic_2022,CZ_CNB_digitalni-penize-centralnich-bank-CBDC.pdf,True,21,official,extracted,retail_or_general,,en,1.38
DK_Denmark_2022,DK_Denmark_analysis-no-8-new-types-of-digital-money.pdf,True,29,official,extracted,retail_or_general,,en,0.97
ECCU_ECCB_DCash_2_RFP_2023,ECCU_ECCB_DCash_2.0_RFP_2023.pdf,True,6,official,extracted,retail_or_general,,en,1.83
ES_Spain_2022,ES_Spain_notabe051222.pdf,False,2,official,extracted,retail_or_general,,es,1.5
ES_Spain_2024a,ES_Spain_BOE-A-2024-205.pdf,False,10,official,extracted,framework,REVIEW,es,1.1
ES_Spain_2024b,ES_Spain_BOE-A-2024-206.pdf,False,10,official,extracted,framework,REVIEW,es,1.1
ES_Spain_2024c,ES_Spain_Nota_de_prensa_EN_Continuacion_trabajos_tokens_digitales.pdf,False,2,official,extracted,retail_or_general,,en,0.0
EU_ECB_2019,EU_ECB_ecb.other191204_f6a84c14a7.en.pdf,False,3,official,extracted,retail_or_general,,en,0.67
EU_ECB_2024,EU_ECB_ecb.deprp202412.en.pdf,False,13,official,extracted,retail_or_general,,en,1.38
FR_BdF_2022,FR_BanqueDeFrance_Tunisia_CBDC_Trial_2021.pdf,True,17,official,extracted,wholesale,REVIEW,fr,0.47
GH_Ghana_2021,GH_Ghana_eCedi-Design-Paper.pdf,False,32,official,extracted,retail_or_general,,en,1.75
GH_Ghana_2023,GH_Ghana_The-eCedi-Report-221024.pdf,False,56,official,extracted,retail_or_general,,en,0.62
HK_HKMA_2021,HK_HKMA_e-HKD_A_technical_perspective.pdf,False,50,official,extracted,retail_or_general,,en,2.86
HK_HKMA_2022,HK_HKMA_20220920e4a1.pdf,False,39,official,extracted,retail_or_general,,en,0.95
HU_Hungary_2025,HU_Hungary_student-safe-white-paper-final-20250303-en.pdf,True,39,official,extracted,retail_or_general,,en,1.28
ID_Indonesia_2022,ID_Indonesia_White-Paper-CBDC-2022_en.pdf,False,65,official,extracted,retail_or_general,,en,1.75
