candidate_id,allocation,overlap,allocation_stratum,origin_type,doc_id,page,language,context_unit_id,alternate_context_unit_id,openai_statement_ids,claude_statement_ids,openai_codes,claude_codes,openai_odr,claude_odr,match_score,match_method,candidate_span_sha256
PC-00001,both,True,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S004,claude:PRD-0001-P0003-U01:S005,INTEROP.crossborder,INTEROP.crossborder,finding,finding,1.0,raw_contains,7585c8ceb66401e2e77a3ebb778eaea1e21929f3cd51cdfa9cebd6e7ca97de20
PC-00002,Martin,False,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S009,claude:PRD-0001-P0003-U01:S001,KYC.INTERMED,SYS.design,decision,decision,1.0,raw_equal,d9c6786fe098d65cbb8c2c807efba50a185e1478061c687fa41ebbdd1c9bc466
PC-00003,both,True,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S005,claude:PRD-0001-P0003-U01:S008,INTEROP.domestic,INTEROP.crossborder,proposal,finding,1.0,raw_equal,68e76f460fd7ea87c425c8feab7e5391534d129d159459cf17ede8e0d2fe6980
PC-00004,Dominik,False,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S015,,SYS.design,,decision,,,,648323ece210235f665b15821a16c142daa999899b20d9c6486747ae2e7795b5
PC-00005,both,True,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S001,,SYS.design,,decision,,,,d9c6786fe098d65cbb8c2c807efba50a185e1478061c687fa41ebbdd1c9bc466
PC-00006,Martin,False,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S014,,TECH.DLT,,decision,,,,5837690a7169d99299ddc243a72b10075073e212aa327c63bc253576d89a4adb
PC-00007,Martin,False,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S016,claude:PRD-0001-P0003-U01:S004,INTEROP.crossborder,CASH.relation,decision,decision,1.0,raw_equal,9a99269cd8f5e44fd3e9d9756f09178fe226f8b29b18b65e04eefc0c36dbafdb
PC-00008,Martin,False,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S012,,CASH.relation,,decision,,,,81890a492dd3d0864a8619c6e4a11a0fabd726dc2f99a62f610df5cec5494fed
PC-00009,Dominik,False,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S003,claude:PRD-0001-P0003-U01:S002,LEGAL.basis,SYS.design,decision,decision,1.0,raw_equal,0d96986f2231f3ba19da75d910e90adf1450fd69b22c68f295abd5edcef0a8ac
PC-00010,Martin,False,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S002,,SYS.design,,decision,,,,1e6948fcebd7b9d2f04edf0b2774ef071e8b70b3dc716d3e770911c69d232c67
PC-00011,Dominik,False,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S008,,SYS.design,,decision,,,,51bf1239da829928bd709746ea420555e44eeece4193b4d232d16f089c679fcc
PC-00012,both,True,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S013,,SYS.design,,decision,,,,c52c7d82aae1e4aaaf586e98acabd5d95500b82d905eb7e86d13af4865a018cc
PC-00013,both,True,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S006,claude:PRD-0001-P0003-U01:S006,ACCESS.universal,PROC.pilot_learning,proposal,finding,1.0,raw_equal,9fb8b97687d635664b9e375e6fead9356484b7a735f6f6419a5915b38543de2d
PC-00014,both,True,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S007,claude:PRD-0001-P0003-U01:S007,PROG.generic,TECH.DLT,proposal,decision,1.0,raw_equal,c3dd11adcff59b27c16d48a20334c4d0e2fddfbb0e0832203c57664b5067466c
PC-00015,Dominik,False,en|openai_only,openai_only,AE_UAE_001,3,en,PRD-0001-P0003-U01,,openai:PRD-0001-P0003-U01:S011,,PROG.remuneration_no,,decision,,,,f459e52e38006ba3b46f2adfcb2bb29406a33c76fb9d8d754aeb25fe934fc280
PC-00016,Dominik,False,en|both,both,AE_UAE_001,3,en,PRD-0001-P0003-U01,PRD-0001-P0003-U01,openai:PRD-0001-P0003-U01:S010,claude:PRD-0001-P0003-U01:S003,SYS.design,PROG.remuneration_no,decision,decision,1.0,raw_equal,cbc8a89967ff617933ebf3f2993d077da8db048598b904ddf0a455be8dd557ba
PC-00017,both,True,en|claude_only,claude_only,AE_UAE_001,4,en,PRD-0001-P0004-U01,,,claude:PRD-0001-P0004-U01:S003,,TECH.DLT,,decision,,,198e6c10a3a6ad77e55685187ae5b9f1df03d5e7c1a94b5d7ccef3fd4ce21ac3
PC-00018,Dominik,False,en|claude_only,claude_only,AE_UAE_001,4,en,PRD-0001-P0004-U01,,,claude:PRD-0001-P0004-U01:S001,,SYS.design,,decision,,,f328f8b29bbd2ea44e2aac2b14832c95b25523515f5fea2ac45b58aa7ca308ac
PC-00019,Dominik,False,en|claude_only,claude_only,AE_UAE_001,4,en,PRD-0001-P0004-U01,,,claude:PRD-0001-P0004-U01:S002,,PROG.remuneration_no,,decision,,,78ed9e20cfb88b27dd69f478c3bef4f6a743b85caa44b23cabf997cc5535ba80
PC-00020,Martin,False,en|claude_only,claude_only,AE_UAE_001,4,en,PRD-0001-P0004-U01,,,claude:PRD-0001-P0004-U01:S004,,PROC.pilot_learning,,finding,,,149bdce6766c3525008ac52ea2db9dd959d419eead8aeba9efec713cf925240f
PC-00021,Dominik,False,en|both,both,AE_UAE_001,5,en,PRD-0001-P0005-U01,PRD-0001-P0005-U01,openai:PRD-0001-P0005-U01:S004,claude:PRD-0001-P0005-U01:S002,TECH.DLT,PROC.pilot_learning,decision,finding,1.0,raw_equal,be8bd094ca4ef53a5414a2a0be7be2dc4927edd1482a8555049eedf01efb8943
PC-00022,both,True,en|both,both,AE_UAE_001,5,en,PRD-0001-P0005-U01,PRD-0001-P0005-U01,openai:PRD-0001-P0005-U01:S003,claude:PRD-0001-P0005-U01:S004,SYS.design,SYS.design,decision,proposal,1.0,raw_equal,77389c971a28b51792c401f36b2e6698420f16ae05da616c1796fdd9969f6ff3
