seg_id,code_v6,v6_evidence,v6_confidence,v6_flag
V9-00001,ADOPT.experience,"Payment infrastructure advancement, capacity building and financial inclusion",0.52,
V9-00005,ACCESS.universal,provide broader financial access to a larger segment of the population,0.82,
V9-00007,SYS.design,"CBDC is the direct liability of the central bank, issued by it and transmitted to the commercial bank",0.88,
V9-00014,OTHER.keep,not all the benefits hold in the Aruban economic context,0.72,
V9-00016,SYS.design,"mobile wallets connect to the central ledger to verify identities, record transactions",0.82,
V9-00025,OPS.resilience,Payment resilience (offline features),0.8,
V9-00029,OPS.resilience,setting security requirements at some level of abstraction,0.72,
V9-00032,INTEROP.domestic,one-to-one conversion between commercial bank deposits and CBDC,0.92,
V9-00033,INTEROP.crossborder,forgo cross-border payments as significant digital florin outflows may lead to considerable foreign exchange outflows,0.93,evidence_not_verbatim
V9-00042,INTEROP.crossborder,"advises, for the time being, against cross-border abilities",0.95,
V9-00056,INTEROP.crossborder,retail CBDC with cross-border capabilities can provide cheaper and faster payments,0.93,
V9-00059,CASH.relation,possible complementary instrument for digital payments in the economy,0.7,
V9-00064,SYS.design,"liability issued by the Central Bank electronically, with the same characteristics as legal tender",0.85,
V9-00070,ACCESS.universal,guarantees access to public digital money without the need for bank accounts,0.9,
V9-00073,INTEROP.domestic,"improving efficiency, speed and security in interbank settlement",0.9,
V9-00076,INTEROP.crossborder,direct cross-border payments with central banks of the region,0.82,
V9-00086,SYS.design,improve the efficiency of the high-value payments system,0.62,
V9-00087,INTEROP.domestic,"integration of banks, savings and credit cooperatives, clearing houses, securities system operators",0.88,
V9-00089,SYS.design,"structural financial and technological policy decision, aimed at strengthening the critical infrastructure of the interbank system",0.72,
V9-00090,SYS.design,"most beneficial alternative for a possible implementation, in the Bolivian case, would be the wholesale CBDC",0.7,
V9-00091,ADOPT.experience,no additional benefits would be expected for transactions currently carried out by the population,0.75,
V9-00092,INTEROP.domestic,"expanding interbank operations capacity, liquidity management and settlement in the high-value payments system",0.85,
V9-00094,SYS.design,equipped with modern tools for the execution and control of its monetary policy,0.68,
V9-00099,OPS.resilience,"ISO/IEC 27001, multi-factor verification (MFA), automated incident management, failure recovery protocols (BCP)",0.97,
V9-00105,INTEROP.domestic,real-time delivery-versus-payment (DvP) settlement schemes,0.82,
V9-00111,INTEROP.crossborder,possible future interoperability with international settlement schemes in foreign currency,0.83,
V9-00116,INTEROP.domestic,strengthen interbank payment infrastructure and consolidate monetary sovereignty,0.74,
V9-00119,INTEROP.crossborder,cross-border transfers and the tokenization of securities,0.78,
V9-00120,SYS.design,"interbank liquidity management, operational stability and shared governance",0.7,
V9-00130,SYS.design,Limited number of participants,0.65,
V9-00131,OTHER.keep,Limited working hours,0.4,
V9-00132,OTHER.keep,Compliant with the 'Digital Brazilian Real' Guidelines,0.5,
V9-00133,OTHER.keep,Long-term perspective,0.4,
V9-00134,SYS.design,"wholesale approach constitutes a strategic opportunity to strengthen the operational, technological and regulatory pillars",0.72,
V9-00149,ACCESS.universal,digital currency design and public education will tackle these issues,0.62,
V9-00156,INTEROP.domestic,connect all consumers regardless of the consumers' choice of service provider,0.82,
V9-00157,CASH.relation,experience and convenience—legally and otherwise—that resembles cash,0.85,
V9-00158,CASH.relation,equivalent in every respect to the paper currency,0.88,
V9-00165,ADOPT.experience,simple payment process will utilize QR codes generated on the payer's digital Sand Dollar Card,0.83,
V9-00166,SYS.design,"batch transactions processing capability, utilizing the Sand Dollar Infrastructure and platforms",0.75,
V9-00168,OPS.resilience,tested and pre-installed portions of the private communications network,0.76,
V9-00171,ADOPT.experience,tackling transactions costs to promote more widespread adoption of electronic payments,0.8,
V9-00186,ACCESS.universal,accessible to all residents of the archipelago on a non-discriminatory basis,0.88,
V9-00200,INTEROP.domestic,BR should consider developing instant payments,0.75,
V9-00211,STAB.disintermediation,"issuance of CBDC could, under certain conditions, have serious impacts on financial stability",0.92,
V9-00213,OPS.resilience,alternative backup payment method and thus increase operational resilience,0.97,
V9-00222,INTEROP.crossborder,"developed reactively, following the digital euro or dollar",0.82,
V9-00228,ACCESS.universal,relevant for countries with a larger number of unbanked residents,0.93,
V9-00232,INTEROP.domestic,exchange of interbank payments (the so-called settlement of payments),0.92,
V9-00234,INTEROP.domestic,direct access to an account in Danmarks Nationalbank,0.88,
V9-00240,OPS.resilience,critical infrastructure such as central payment systems can become more independent,0.88,
V9-00247,SYS.design,core CBDC ledger functions and supports integration via secure API layer,0.85,
V9-00255,STAB.disintermediation,preventing a foreign currency from having an inexpedient effect on monetary and financial stability,0.78,
V9-00266,ACCESS.universal,"liquid, risk-free, accessible to all and adapted to the digital economy",0.85,
V9-00276,INTEROP.crossborder,"cross-border payments involving, in most cases, tokenised financial assets",0.92,
V9-00282,CASH.relation,support the use of cash as long as there is a demand,0.97,
V9-00283,CASH.relation,not a substitute but a complement to the forms of money known today,0.97,
V9-00286,INTEROP.domestic,interoperable with other digital or cash-based payment solutions,0.84,
V9-00287,SYS.design,"need to introduce a general-purpose, widely accessible central bank digital currency",0.78,
V9-00289,OTHER.keep,identifying those market failures or policy considerations of strategic importance,0.75,
V9-00294,SYS.design,"e-money balances were recorded at the MNB, so there was a direct link",0.72,
V9-00297,ADOPT.experience,"we took a mobile-first approach on the customer side, with a view to reducing the complexity",0.85,
V9-00298,INTEROP.domestic,"ensured interoperability with already established ecosystems (e.g. instant payment, standardised QR code payment network)",0.92,
V9-00302,SYS.design,"designed with a modular platform, allowing for the expansion of both the range of partners",0.8,
V9-00307,ACCESS.universal,promote digital financial inclusion of primary school age children,0.93,
V9-00315,INTEROP.domestic,initiate a transfer to any bank account outside the Student Safe,0.85,
V9-00316,ACCESS.universal,"accessible to any user in Hungary, which is capable of fulfilling its functional objective",0.8,
V9-00321,OPS.resilience,e₹ wallet can be recovered using the same phone number / SIM on a new mobile device,0.87,
V9-00323,ADOPT.experience,Users' choice could be increased if card payment could also be made available,0.84,
V9-00327,SYS.design,easily extended thanks to the modular architecture of the backend system,0.82,
V9-00330,CASH.relation,e₹ can be withdrawn from one's bank account and kept separately in the e₹ wallet,0.78,
V9-00331,INTEROP.domestic,"transactions happen between two e₹ wallets, and are settled instantaneously without passing through user's bank accounts",0.88,
V9-00333,INTEROP.domestic,e₹ can be loaded/redeemed/transferred from/to one's bank account to/from the e₹ wallet,0.87,
V9-00336,CASH.relation,e₹ is available in the same denominations as physical currency,0.92,
V9-00337,CASH.relation,feature of providing the requisite change is available in all the e₹ wallets,0.83,
V9-00338,SYS.design,supports payments involving decimal or fractional values,0.82,
V9-00344,OPS.resilience,alternative in the event of a malfunction in other payment intermediation channels,0.88,
V9-00346,OTHER.keep,assess the potential effects and risks before taking a position,0.8,
V9-00349,ACCESS.universal,"retail CBDC aims to enhance accessibility, financial inclusion, and convenience",0.78,
V9-00351,CASH.relation,"digital claim directly against the Central Bank, as well as a claim in the form of conventional cash",0.85,
V9-00354,SYS.design,structure and operational arrangements for domestic payment intermediation are among the factors,0.75,
V9-00355,SYS.design,"payment intermediation market is oligopolistic, the Government may need to intervene",0.7,
V9-00359,OPS.resilience,element in financial system contingency measures in response to a major interruption in the electronic payment service,0.9,
V9-00364,CASH.relation,"rafkróna is an electronically registered deposit or payment authorisation, whereas conventional cash is tangible",0.95,
V9-00365,CASH.relation,rafkróna would not substitute entirely for physical cash but would be a supplement,0.97,
V9-00370,OPS.resilience,increase in deposit insurance could also be feasible as contingency measures,0.72,
V9-00371,CASH.relation,cost of issuing rafkrónur could potentially be lower than the cost of issuing conventional cash,0.85,
V9-00376,SYS.design,"rafkróna account in the Central Bank, either for continuous use or as a safety valve",0.8,
V9-00381,STAB.disintermediation,rafkróna could result in increased volatility in banking system balances,0.92,
V9-00383,STAB.disintermediation,transferring funds electronically from the privately run banking system to the shelter of the Central Bank,0.93,
V9-00388,SYS.design,built on the same foundation as the banks' conventional deposit and internal payment intermediation systems,0.72,
V9-00395,CASH.relation,rafkróna would be a supplement to physical cash,0.97,
V9-00398,OPS.resilience,"system could be in full operation and available to the public year-round, or it could function as a contingency measure",0.78,
V9-00405,SYS.design,narrow them down to two main theoretical categories: eventually online and permanently offline,0.82,
V9-00406,OPS.resilience,physical tampering of devices is the main vulnerability of such a model,0.85,
V9-00409,OTHER.keep,digital euro should be designed in such a way as to limit its ecological footprint,0.88,
V9-00410,ACCESS.universal,ease of use even to people not accustomed to digital technologies,0.95,
V9-00411,ACCESS.universal,include citizens temporarily excluded from central bank money; in the case of natural disasters,0.88,
V9-00416,INTEROP.domestic,interoperable with existing payment solutions and compliant with current regulations,0.8,
V9-00423,SYS.design,desirable to 'reuse' an already existing Eurosystem infrastructure,0.82,
V9-00428,OPS.resilience,"able to cope with the large increases in the volume of transactions, while preserving the average latency",0.85,
V9-00433,SYS.design,Operational model: Online,0.85,
V9-00448,SYS.design,payments are routed peer-to-peer from user to user across a network of intermediaries,0.82,
V9-00461,OPS.resilience,retail user can activate a backup procedure that closes the channel and allows the retrieval of their own off-ledger funds,0.87,
V9-00462,ADOPT.experience,"possibly free of charge for the end users, depending on policy choices",0.88,
V9-00481,SYS.design,interoperability between the platforms allows the Eurosystem to control a single digital currency,0.72,
V9-00482,SYS.design,"Transactions within each D€ solution are possible, and so are solutions relying on both platforms",0.7,
V9-00487,SYS.design,centralized TIPS+-based D€ and the itCoin solution interact with each other through a bridge component,0.82,
V9-00489,SYS.design,retail users and intermediaries can have accounts/wallets in either one or more platforms,0.75,
V9-00490,INTEROP.domestic,issuance process would rely on the mechanism already envisaged to fund any other TARGET Service such as RTGS,0.85,
V9-00494,INTEROP.domestic,D€ can leave the CBDC system by becoming commercial bank money or cash,0.83,
V9-00495,SYS.design,retail wallet is technically implemented with a payment channel,0.8,
V9-00501,SYS.design,"retail wallets would effectively have two balances, a balance for the on-ledger D€ and a balance for the off-ledger D€",0.82,
V9-00504,INTEROP.domestic,back-end solution could be embedded in and interoperate with the current payment landscape,0.84,
V9-00511,CASH.relation,"off-ledger digital euro, being cash-like, should be free of charge for retail users",0.82,
V9-00526,SYS.design,new set of PSD2-like APIs for retrieving information on digital euro account balances,0.78,
V9-00527,SYS.design,role of the Request Handler is to regulate access to (and from) the core ledger,0.82,
V9-00528,ADOPT.experience,physical terminal accepts payment from a mobile wallet,0.75,
V9-00564,OPS.resilience,how to ensure that the whole system is properly secured should be further investigated,0.85,
V9-00568,INTEROP.crossborder,"make it straightforward to explore, and possibly enhance, cross-border and/or cross-currency transactions",0.92,
V9-00588,SYS.design,combination of these two systems through a bridge component,0.72,
V9-00594,SYS.design,select the subset of candidate transactions that maximizes the total cumulative fee,0.78,
V9-00595,SYS.design,criterion is not ultimately geared to maximize income by fees,0.7,
V9-00606,OPS.resilience,increase the attack surface and vulnerability risks of the D€,0.92,
V9-00614,CASH.relation,not be taken as a substitute for physical legal tender,0.95,
V9-00615,ADOPT.experience,"brand-new alternative for local residents, public and private entities, tourists",0.72,
V9-00616,ADOPT.experience,increase the use of risk-free currency issued by the Macao SAR Government for day-to-day payments,0.7,
V9-00617,INTEROP.crossborder,explore the application of e-MOP in inter-company and cross-border payments,0.93,
V9-00618,CASH.relation,further scale down the market demand for MOP banknotes and coins,0.92,
V9-00619,INTEROP.domestic,digital legal tender with an immediate settlement feature,0.8,
V9-00620,INTEROP.crossborder,interconnection of e-MOP with digital renminbi (e-CNY) and digital HKD,0.97,
V9-00621,INTEROP.crossborder,establish linkages with CBDCs of Portuguese-speaking countries,0.98,
V9-00625,ADOPT.experience,leveraging wallet application software (apps) and physical carriers,0.85,
V9-00629,ACCESS.universal,adoption of e-MOP is expected to enhance financial inclusion,0.82,
V9-00630,OTHER.keep,boost regional competitiveness in trade and finance,0.65,
V9-00631,CASH.relation,"As a legal tender by nature, e-MOP can be accessed",0.72,
V9-00632,INTEROP.domestic,integrated into existing payment tools or online consumption platforms,0.82,
V9-00637,OPS.resilience,flexibility and security for financial market infrastructure,0.65,
V9-00639,INTEROP.domestic,e-MOP offer settlement finality. All transactions in e-MOP are settled instantly,0.8,
V9-00645,INTEROP.domestic,Interoperability of e-MOP with electronic payment systems,0.88,
V9-00646,INTEROP.crossborder,faster and more cost-effective cross-border payments,0.95,
V9-00652,SYS.design,utilises a cloud computing architecture to combine the stability and security,0.75,
V9-00653,OPS.resilience,scalability features to support deployment with multi-site high availability,0.82,
V9-00655,OPS.resilience,"enhance capabilities across infrastructure, application design, data security and operational maintenance",0.78,
V9-00656,INTEROP.crossborder,cross-border payments and settlements,0.75,
V9-00658,OPS.resilience,protection against double-spending and illicit reproduction and counterfeiting,0.87,
V9-00659,SYS.design,"covers currency issuance and circulation, as well as retail and wholesale payments",0.76,
V9-00660,OPS.resilience,design of the e-MOP system adheres to the highest standards of disaster resilience and network security,0.9,
V9-00661,OPS.resilience,"guidelines of graded protection of cybersecurity, a network segmentation approach",0.92,
V9-00666,ADOPT.experience,bringing in more payment options with user-friendly features,0.83,
V9-00670,SYS.design,matrix of e-MOP wallets will be developed across various dimensions,0.72,
V9-00674,ADOPT.experience,lowering costs for merchants within Macao SAR's payment ecosystem,0.82,
V9-00676,INTEROP.crossborder,establish connections with external nodes to facilitate cross-border payments,0.95,
V9-00677,SYS.design,"centralised management, unified recognition and anti-counterfeiting features",0.78,
V9-00688,INTEROP.crossborder,seamless integration of e-MOP with e-CNY and digital HKD,0.97,
V9-00691,INTEROP.domestic,interoperability of e-MOP with other payment systems,0.8,
V9-00692,SYS.design,hardware wallets make use of security chips and relevant technologies,0.82,
V9-00693,ACCESS.universal,meet the needs of different user groups,0.75,
V9-00694,INTEROP.crossborder,integration of e-MOP with CBDC project platforms in other countries,0.96,
V9-00695,STAB.disintermediation,safeguard economic and financial stability for the sustainable development,0.7,
V9-00703,INTEROP.crossborder,developing a common view and approach on CBDCs that will serve all the CMA countries,0.88,evidence_not_verbatim
V9-00713,SYS.design,evaluating three possible options to address these challenges,0.65,
V9-00714,CASH.relation,CBDC as a complement to the existing digital means of payment,0.78,
V9-00715,OTHER.keep,Options 2 and 3 form complementary policy strategies,0.62,
V9-00716,ACCESS.universal,reduce some of the barriers to financial inclusion,0.85,
V9-00719,SYS.design,"support payment efficiency, reduce cash management costs, foster competition",0.45,
V9-00725,ACCESS.universal,reduce some of the barriers to financial inclusion,0.72,
V9-00727,INTEROP.domestic,"Interoperability with bank accounts, e-money accounts, and other payment options",0.95,
V9-00729,CASH.relation,not imply stopping the issuance of physical money. The public would have at its disposal the two forms,0.97,evidence_not_verbatim
V9-00735,ADOPT.experience,"instant and final payments, at low or no cost, and enabling small-ticket transactions",0.82,
V9-00736,ACCESS.universal,"Universally accessible, easy to use, and able to operate on- and offline",0.9,
V9-00737,ADOPT.experience,Multiple use cases for allowing person-to-person (P2P) and person-to-business (P2B) transfers,0.8,
V9-00738,CASH.relation,CBDC adoption imply stopping the issuance of physical money by the BCRP,0.97,
V9-00745,INTEROP.domestic,"transfers could be made from CBDC wallets to bank and e-money accounts, and vice versa, under an interoperable framework",0.97,
V9-00756,ACCESS.universal,CBDC design should encourage Peru's unbanked population to adopt digital payments,0.88,
V9-00759,ACCESS.universal,the unbanked would significantly reduce the costs and risks mentioned above,0.85,
V9-00760,ACCESS.universal,"target population is made up of unbanked citizens, mainly street vendors",0.9,
V9-00761,ACCESS.universal,"Internet connectivity is poor or non-existent, but they have basic mobile phone access",0.88,
V9-00763,CASH.relation,maintaining the properties of Peruvian currency as a means of payment in the digital world,0.82,
V9-00764,ACCESS.universal,tool to foster financial inclusion and enhance the use of digital payments among unbanked people,0.93,
V9-00766,CASH.relation,replacement of banknotes and coins in the cash-based payment flows,0.82,
V9-00781,CASH.relation,Easily convertible to cash,0.92,
V9-00783,INTEROP.domestic,transfers from CBDC wallets to bank accounts and from CBDC wallets to e-money accounts,0.91,
V9-00785,ACCESS.universal,"Wide availability, both on smartphones and regular phones",0.8,
V9-00789,INTEROP.domestic,Connection to government payment platforms like Pagalo.pe,0.83,
V9-00790,INTEROP.domestic,Direct wire transfer and auto redemption process,0.78,
V9-00795,ADOPT.experience,convenient and cost-effective way of payment,0.8,
V9-00798,SYS.design,"sponsored and managed by the Palau Ministry of Finance, not a commercial vendor",0.78,
V9-00800,ADOPT.experience,make payments easier and more affordable for the Republic of Palau,0.78,
V9-00801,ACCESS.universal,financial services more widely available through digital access to under-served communities,0.93,
