statement_id,model,request_id,unit_id,doc_id,page,stratum,block_id,quote,quote_en,code1,odr,privacy_direction,privacy_relation,strength,source_mode,assignment_status,best_score,match_method,matched_field,gold_id,paragraph_id,gold_truth,reference_code,exact_code_match
codex:CAL-003-U01:S001,codex,CAL-R0001,CAL-003-U01,RU_Russia_digital_ruble_30062025,23,probability,CAL-003-P0023-B01,"Механизмы исполнения смарт-контрактов на платформе цифрового рубля функционируют 
с применением процедур контроля целостности смарт-контрактов и разграничения прав доступа 
к возможности их запуска.",Smart-contract execution mechanisms on the digital-ruble platform operate using procedures to control smart-contract integrity and segregate access rights to the ability to launch them.,PROG.generic,decision,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-003-U01:S002,codex,CAL-R0001,CAL-003-U01,RU_Russia_digital_ruble_30062025,23,probability,CAL-003-P0023-B01,"Для обеспечения безопасности и надежности функционирования платформы цифрового рубля 
используются специализированные системы мониторинга информационной безопасности, 
позволяющие оперативно реагировать на любые попытки компьютерных атак и проводить 
обработку инцидентов информационной безопасности с целью защиты финансовых средств 
пользователей и участников платформы цифрового рубля и конфиденциальности информации.","To ensure the security and reliable functioning of the digital-ruble platform, specialised information-security monitoring systems are used, enabling prompt responses to any attempted computer attacks and the handling of information-security incidents in order to protect the funds of users and participants of the digital-ruble platform and the confidentiality of information.",OPS.resilience,decision,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-003-U01:S003,codex,CAL-R0001,CAL-003-U01,RU_Russia_digital_ruble_30062025,23,probability,CAL-003-P0023-B01,"Для подготовки инфраструктуры участников платформы к обеспечению защиты информации 
при совершении операций с цифровыми рублями Банк России издал Положение № 833-П2, 
исполнение которого проверяется при подключении участника к платформе цифрового рубля 
в соответствии с Условиями по защите информации для участников платформы цифрового рубля, 
опубликованными на официальном сайте Банка России.","To prepare the infrastructure of platform participants to ensure information protection when conducting digital-ruble operations, the Bank of Russia issued Regulation No. 833-P, compliance with which is checked when a participant connects to the digital-ruble platform in accordance with the Information Protection Conditions for digital-ruble platform participants published on the Bank of Russia's official website.",OPS.resilience,decision,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-003-U01:S004,codex,CAL-R0001,CAL-003-U01,RU_Russia_digital_ruble_30062025,23,probability,CAL-003-P0023-B01,"Пользователи и участники взаимодействуют с платформой цифрового рубля по защищенным 
каналам связи с использованием СКЗИ, сертифицированных ФСБ России.",Users and participants interact with the digital-ruble platform through secure communication channels using cryptographic information-protection tools certified by Russia's FSB.,OPS.resilience,decision,neutral,not_applicable,2,text,unassigned,0.0,none,,,,,,False
codex:CAL-003-U01:S005,codex,CAL-R0001,CAL-003-U01,RU_Russia_digital_ruble_30062025,23,probability,CAL-003-P0023-B01,"Все сообщения пользователей, направленные на платформу цифрового рубля, подписываются 
их электронными подписями и хранятся на платформе, что обеспечивает их целостность, 
возможность проверки авторства и проведения объективных претензионных процедур (при 
необходимости).","All user messages sent to the digital-ruble platform are signed with their electronic signatures and stored on the platform, ensuring their integrity, the ability to verify authorship, and objective dispute procedures where necessary.",OPS.resilience,decision,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-003-U01:S006,codex,CAL-R0001,CAL-003-U01,RU_Russia_digital_ruble_30062025,23,probability,CAL-003-P0023-B01,"По результатам анализа лучших практик обеспечения информационной безопасности 
в мобильных приложениях Банком России была реализована концепция специализированного 
программного модуля, встраиваемого в мобильные приложения участников платформы, 
обеспечивающего криптографическую защиту информации.","Based on an analysis of best practices for information security in mobile applications, the Bank of Russia implemented the concept of a specialised software module embedded in platform participants' mobile applications that provides cryptographic protection of information.",OPS.resilience,decision,neutral,not_applicable,3,text,unassigned,0.0,none,,,,,,False
codex:CAL-005-U01:S001,codex,CAL-R0001,CAL-005-U01,HK_HKMA_eHKD_Phase2_2025,27,probability,CAL-005-P0027-B01,"the survey found that most retail users expect it 
to be free of charge for both online and offline 
transactions, given the numerous convenient 
payment options available in Hong Kong.",,ADOPT.experience,finding,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G005,P02,positive,ADOPT.experience,True
codex:CAL-005-U01:S002,codex,CAL-R0001,CAL-005-U01,HK_HKMA_eHKD_Phase2_2025,27,probability,CAL-005-P0027-B01,"The survey found that 68% of merchants would 
expect a fee structure that aligns with their 
current merchant fee.",,ADOPT.experience,finding,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G005,P04,positive,ADOPT.experience,True
codex:CAL-005-U01:S003,codex,CAL-R0001,CAL-005-U01,HK_HKMA_eHKD_Phase2_2025,27,probability,CAL-005-P0027-B01,"The pilots showed that the account-based model 
requires recording only essential transaction 
details, including the payer, payee, transaction 
amount, transaction identifier and digital 
signature. This streamlined approach results 
in lower data storage demands, making it well-
suited for devices with limited memory capacity.",,OPS.resilience,finding,neutral,not_applicable,3,text,unassigned,0.715328,fuzzy_character,quote,,,,,False
codex:CAL-005-U01:S004,codex,CAL-R0001,CAL-005-U01,HK_HKMA_eHKD_Phase2_2025,27,probability,CAL-005-P0027-B01,"In contrast, the UTXO model entails higher 
data storage requirements due to its need to 
record the entire transaction history to ensure 
traceability and validate unspent outputs. 
Additionally, the model’s “splitting” mechanism, 
where balances are divided into smaller units 
with each transaction, leads to increased data 
fragmentation. This results in larger and less 
predictable data sizes, particularly as users’ 
balances become fragmented over multiple 
transactions. Synchronisation in the UTXO 
model is also more resource-intensive, as it 
requires transmitting the full transaction history 
to identify unspent units, leading to longer 
synchronisation times and a heavier reliance on 
broadband signals.",,OPS.resilience,finding,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G005,P08,positive,,False
codex:CAL-005-U01:S005,codex,CAL-R0001,CAL-005-U01,HK_HKMA_eHKD_Phase2_2025,27,probability,CAL-005-P0027-B01,"The account-based model will therefore be more 
suitable for implementing an offline e-HKD, 
were one to be introduced.",,TECH.TOKEN.decided_no,proposal,neutral,not_applicable,2,text,assigned,1.0,normalized_contains,quote,G005,P09,positive,,False
codex:CAL-009-U01:S001,codex,CAL-R0002,CAL-009-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,9,probability,CAL-009-P0009-B01,"The digital shekel system will operate as a financial system for immediate payments between end users 
(individuals, businesses, various organizations, and government agencies).",,SYS.design,proposal,neutral,not_applicable,3,text,assigned,1.0,normalized_contains,quote,G009,P04,positive,,False
codex:CAL-009-U01:S002,codex,CAL-R0002,CAL-009-U01,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,9,probability,CAL-009-P0009-B01,"According to the two-tier model, 
the Bank of Israel and intermediaries will be involved in providing the complete solution to end users.",,SYS.design,proposal,neutral,not_applicable,3,text,unassigned,1.0,normalized_contains,quote,,,,,False
