jur,iso3,country,is_composite,n_own_design,n_privacy,n_directional,n_conditional,privacy_salience,directional_valence,conditionality,positive_density,negative_density,conditional_density,directional_weight,component_status,current_signed_density,net_privacy_posture
AE,ARE,United Arab Emirates,False,48,7,3,4,0.14583333333333334,0.0,0.5714285714285714,0.0625,0.0625,0.078125,6.0,estimated,-0.01953125,-0.01953125
AM,ARM,Armenia,False,6,0,0,0,0.0,,,0.0,0.0,0.0,0.0,no_privacy_evidence,0.0,0.0
AU,AUS,Australia,False,185,44,32,12,0.23783783783783785,-0.4742857142857143,0.2727272727272727,0.062162162162162166,0.17432432432432432,0.0472972972972973,43.75,estimated,-0.12398648648648648,-0.1239864864864864
AW,ABW,Aruba,False,44,13,10,3,0.29545454545454547,0.4117647058823529,0.23076923076923078,0.13636363636363635,0.056818181818181816,0.07954545454545454,8.5,estimated,0.05965909090909091,0.0596590909090909
BO,BOL,Bolivia,False,70,21,16,5,0.3,-0.7142857142857143,0.23809523809523808,0.03571428571428571,0.21428571428571427,0.08214285714285714,17.5,estimated,-0.19910714285714284,-0.1991071428571428
BR,BRA,Brazil,False,9,1,1,0,0.1111111111111111,-1.0,0.0,0.0,0.3333333333333333,0.0,3.0,estimated,-0.3333333333333333,-0.3333333333333333
BS,BHS,Bahamas,False,58,32,28,4,0.5517241379310345,-0.4606741573033708,0.125,0.20689655172413793,0.5603448275862069,0.09482758620689655,44.5,estimated,-0.3771551724137931,-0.3771551724137931
CA,CAN,Canada,False,156,49,44,5,0.3141025641025641,-0.014925373134328358,0.10204081632653061,0.21153846153846154,0.21794871794871795,0.022435897435897436,67.0,estimated,-0.01201923076923077,-0.0120192307692307
CN,CHN,China,False,246,67,52,15,0.27235772357723576,0.058823529411764705,0.22388059701492538,0.17378048780487804,0.15447154471544716,0.047764227642276426,80.75,estimated,0.007367886178861789,0.0073678861788617
CO,COL,Colombia,False,1,0,0,0,0.0,,,0.0,0.0,0.0,0.0,no_privacy_evidence,0.0,0.0
CZ,CZE,Czech Republic,False,23,8,5,3,0.34782608695652173,-0.6,0.375,0.043478260869565216,0.17391304347826086,0.08695652173913043,5.0,estimated,-0.15217391304347827,-0.1521739130434782
DK,DNK,Denmark,False,27,6,4,2,0.2222222222222222,0.0,0.3333333333333333,0.07407407407407407,0.07407407407407407,0.05555555555555555,4.0,estimated,-0.013888888888888888,-0.0138888888888888
ECCU,ECCU,Eastern Caribbean (OECS / ECCU),False,12,6,4,2,0.5,1.0,0.3333333333333333,0.25,0.0,0.16666666666666666,3.0,estimated,0.20833333333333334,0.2083333333333333
ES,ESP,Spain,False,23,2,2,0,0.08695652173913043,0.5,0.0,0.13043478260869565,0.043478260869565216,0.0,4.0,estimated,0.08695652173913043,0.0869565217391304
EU,EMU,Euro Area,False,167,48,36,12,0.2874251497005988,0.8787878787878788,0.25,0.27844311377245506,0.017964071856287425,0.05538922155688623,49.5,estimated,0.24663173652694612,0.2466317365269461
FR,FRA,France,False,12,3,3,0,0.25,1.0,0.0,0.14583333333333334,0.0,0.0,1.75,estimated,0.14583333333333334,0.1458333333333333
GH,GHA,Ghana,False,80,13,7,6,0.1625,-0.06666666666666667,0.46153846153846156,0.0875,0.1,0.0875,15.0,estimated,-0.034375,-0.034375
HK,HKG,Hong Kong,False,318,103,67,36,0.3238993710691824,0.0926517571884984,0.34951456310679613,0.13443396226415094,0.11163522012578617,0.09433962264150944,78.25,estimated,-0.0007861635220125787,-0.0007861635220125
HU,HUN,Hungary,False,46,9,8,1,0.1956521739130435,-0.7894736842105263,0.1111111111111111,0.043478260869565216,0.3695652173913043,0.005434782608695652,19.0,estimated,-0.327445652173913,-0.327445652173913
ID,IDN,Indonesia,False,302,52,43,9,0.17218543046357615,0.010169491525423728,0.17307692307692307,0.12334437086092716,0.12086092715231789,0.028973509933774833,73.75,estimated,-0.004759933774834437,-0.0047599337748344
IL,ISR,Israel,False,571,211,158,53,0.36952714535901926,0.07484407484407485,0.25118483412322273,0.22635726795096323,0.19483362521891417,0.08975481611208407,240.5,estimated,0.00908493870402802,0.009084938704028
IN,IND,India,False,191,58,37,21,0.3036649214659686,-0.2578616352201258,0.3620689655172414,0.07722513089005235,0.13089005235602094,0.0968586387434555,39.75,estimated,-0.07787958115183247,-0.0778795811518324
IS,ISL,Iceland,False,59,8,4,4,0.13559322033898305,-0.6,0.5,0.01694915254237288,0.06779661016949153,0.025423728813559324,5.0,estimated,-0.057203389830508475,-0.0572033898305084
IT,ITA,Italy,False,226,76,57,19,0.336283185840708,0.17647058823529413,0.25,0.21017699115044247,0.14712389380530974,0.06305309734513274,80.75,estimated,0.047289823008849555,0.0472898230088495
JP,JPN,Japan,False,99,29,19,10,0.29292929292929293,0.2,0.3448275862068966,0.12121212121212122,0.08080808080808081,0.08080808080808081,20.0,estimated,0.020202020202020204,0.0202020202020202
MG,MDG,Madagascar,False,14,5,2,3,0.35714285714285715,0.0,0.6,0.07142857142857142,0.07142857142857142,0.10714285714285714,2.0,estimated,-0.026785714285714284,-0.0267857142857142
MO,MAC,Macau,False,91,11,9,2,0.12087912087912088,0.07692307692307693,0.18181818181818182,0.07692307692307693,0.06593406593406594,0.054945054945054944,13.0,estimated,-0.0027472527472527475,-0.0027472527472527
NA,NAM,Namibia,False,8,4,3,1,0.5,-1.0,0.25,0.0,0.375,0.0625,3.0,estimated,-0.390625,-0.390625
NO,NOR,Norway,False,567,107,62,45,0.18871252204585537,-0.3150684931506849,0.4205607476635514,0.04409171075837742,0.08465608465608465,0.05952380952380952,73.0,estimated,-0.05544532627865961,-0.0554453262786596
NZ,NZL,New Zealand,False,138,31,19,12,0.2246376811594203,0.4117647058823529,0.3870967741935484,0.08695652173913043,0.036231884057971016,0.057971014492753624,17.0,estimated,0.036231884057971016,0.036231884057971
PE,PER,Peru,False,60,9,5,4,0.15,-0.5,0.4444444444444444,0.025,0.075,0.041666666666666664,6.0,estimated,-0.06041666666666667,-0.0604166666666666
PH,PHL,Philippines,False,3,0,0,0,0.0,,,0.0,0.0,0.0,0.0,no_privacy_evidence,0.0,0.0
PW,PLW,Republic of Palau,False,27,7,6,1,0.25925925925925924,-0.043478260869565216,0.14285714285714285,0.10185185185185185,0.1111111111111111,0.018518518518518517,5.75,estimated,-0.013888888888888888,-0.0138888888888888
PY,PRY,Banco Central del Paraguay (2024 design paper) — composite,False,6,2,2,0,0.3333333333333333,-1.0,0.0,0.0,0.5,0.0,3.0,estimated,-0.5,-0.5
RU,RUS,Russian Federation,False,263,82,62,20,0.311787072243346,-0.3157894736842105,0.24390243902439024,0.12357414448669202,0.2376425855513308,0.04467680608365019,95.0,estimated,-0.12523764258555134,-0.1252376425855513
RW,RWA,Rwanda,False,4,2,1,1,0.5,-1.0,0.5,0.0,0.25,0.0625,1.0,estimated,-0.265625,-0.265625
SE,SWE,Sweden,False,92,14,8,6,0.15217391304347827,-0.6842105263157895,0.42857142857142855,0.016304347826086956,0.08695652173913043,0.04076086956521739,9.5,estimated,-0.08084239130434782,-0.0808423913043478
SG,SGP,Singapore,False,139,19,15,4,0.1366906474820144,-0.9111111111111111,0.21052631578947367,0.007194244604316547,0.15467625899280577,0.012589928057553957,22.5,estimated,-0.1506294964028777,-0.1506294964028777
SZ,SWZ,Eswatini,False,111,25,21,4,0.22522522522522523,-0.12,0.16,0.14864864864864866,0.1891891891891892,0.05405405405405406,37.5,estimated,-0.05405405405405406,-0.054054054054054
TH,THA,Thailand,False,40,5,3,2,0.125,-0.2,0.4,0.05,0.075,0.025,5.0,estimated,-0.03125,-0.03125
