jur,n_segs,n_docs,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,fz_cash_substitution,fz_financial_inclusion,fz_sovereignty_competition,fz_payment_modernization,fz_monetary_transmission,fz_state_control,state_privacy_raw,state_privacy_fz,fz_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite,vocab,net_privacy_posture
AE,48,3,0.3020408163265306,0.18095238095238098,0.09183673469387756,0.4632653061224489,0.19319727891156463,0.16598639455782313,0.5842233333142732,0.6322971275623573,0.5607043931796413,0.8034939324297703,0.5507688068508865,0.43155501053203077,-0.0625,0.6653634647757997,0.746624406170938,payment_modernization,0.8034939324297703,0.6322971275623573,False,ARE,United Arab Emirates,financial_inclusion,False,0.15789473684210525,-0.01953125
AM,6,1,0.09090909090909091,0.6727272727272727,0.0,0.39999999999999997,0.14545454545454548,0.18181818181818182,0.26452566212794815,0.95,0.05,0.6574488878754697,0.45684391574991484,0.4853032231203747,0.0,0.7046176605621589,0.3273826458036984,financial_inclusion,0.95,0.6574488878754697,False,ARM,Armenia,financial_inclusion,False,0.0,0.0
AU,185,3,0.11498257839721254,0.024738675958188152,0.12874564459930316,0.3341463414634146,0.05226480836236934,0.2587108013937282,0.21232115497768222,0.18899860284688835,0.6697188860781539,0.5054287510183967,0.1961873826191985,0.5525665728523705,-0.6607142857142857,0.2764553362328538,0.40083588998864983,sovereignty_competition,0.6697188860781539,0.5525665728523705,False,AUS,Australia,sovereignty_competition,False,0.2169811320754717,-0.12398648648648648
AW,44,1,0.2639175257731959,0.11752577319587627,0.09484536082474226,0.5412371134020618,0.44948453608247424,0.07628865979381444,0.576223967643043,0.5491029616452117,0.5695906987578295,0.95,0.95,0.12703519621767415,0.07894736842105263,0.7542019078712443,0.6857921249908291,payment_modernization,0.95,0.95,True,ABW,Aruba,financial_inclusion,False,0.2903225806451613,0.05965909090909091
BO,70,1,0.13529411764705884,0.1281045751633987,0.13921568627450978,0.4725490196078431,0.19281045751633988,0.403921568627451,0.23726090604257002,0.5629787566344279,0.700643296654722,0.8249249573106039,0.5501610608856694,0.6577602342873119,-0.7,0.25023419203747077,0.46281064346079825,payment_modernization,0.8249249573106039,0.700643296654722,False,BOL,Bolivia,financial_inclusion,False,0.2558139534883721,-0.19910714285714284
BR,9,1,0.0,0.0,0.04,0.22666666666666663,0.0,0.84,0.019125,0.05,0.30251066093144063,0.13165051361515845,0.05,0.95,-1.0,0.05,0.05,state_control,0.95,0.30251066093144063,False,BRA,Brazil,monetary_transmission,False,0.0,-0.3333333333333333
BS,58,1,0.05972850678733032,0.19140271493212668,0.01085972850678733,0.19909502262443438,0.18552036199095026,0.46244343891402717,0.13512714109559304,0.6460044161870022,0.1185549305696219,0.05,0.5387073869258098,0.7001546787678449,-0.5405405405405406,0.3566649787961263,0.23224416366831224,state_control,0.7001546787678449,0.6460044161870022,True,BHS,Bahamas,financial_inclusion,False,0.06382978723404255,-0.3771551724137931
CA,156,4,0.09003322259136214,0.0,0.14335548172757476,0.3308970099667774,0.034717607973421924,0.16578073089700998,0.20150973264190322,0.05,0.7128706342589981,0.4968548006030479,0.1471069520669699,0.43085679156399553,-0.45121951219512196,0.4162820586051294,0.3247101884188787,sovereignty_competition,0.7128706342589981,0.4968548006030479,False,CAN,Canada,sovereignty_competition,False,0.2773109243697479,-0.01201923076923077
CN,246,3,0.17087126137841352,0.1716514954486346,0.08049414824447335,0.38218465539661894,0.1871261378413524,0.2343302990897269,0.4314478580789923,0.6200975249169566,0.52720282640057,0.6163229856105668,0.5412302664928974,0.534904836372093,-0.012345679012345678,0.6968637453451003,0.5373207722752633,financial_inclusion,0.6200975249169566,0.6163229856105668,True,CHN,China,state_control,False,0.3248407643312102,0.007367886178861789
CO,1,1,0.0,0.0,0.0,1.5,0.3,0.0,0.04040007396827017,0.05,0.05,0.95,0.7185695635230533,0.05,0.0,0.7046176605621589,0.05,payment_modernization,0.95,0.7185695635230533,False,COL,Colombia,monetary_transmission,False,,0.0
CZ,23,1,0.18867924528301888,0.1811320754716981,0.018867924528301886,0.05849056603773585,0.21886792452830192,0.27547169811320754,0.33439398173819335,0.632532825736724,0.16910880232615125,0.05,0.5911006796239107,0.564708510591857,-0.5192307692307693,0.3708881282651774,0.5657364800594658,financial_inclusion,0.632532825736724,0.5911006796239107,True,CZE,Czech Republic,sovereignty_competition,False,0.6363636363636364,-0.15217391304347827
DK,27,1,0.12903225806451613,0.05161290322580645,0.11451612903225807,0.21129032258064515,0.4387096774193549,0.12580645161290321,0.21784119559693604,0.3399961764075017,0.6276904591290047,0.0777745826662679,0.9365002359957817,0.2951458938810939,-0.75,0.21686182669789228,0.4437044004955719,monetary_transmission,0.9365002359957817,0.6276904591290047,False,DNK,Denmark,cash_substitution,False,0.25,-0.013888888888888888
ECCU,12,2,0.15384615384615385,0.22692307692307695,0.011538461538461537,0.3153846153846154,0.0,0.11538461538461539,0.4717103369496425,0.6925950662854088,0.12283961373022326,0.44250217330198,0.05,0.2597642240830482,0.2857142857142857,0.8840654127283726,0.51015427868324,financial_inclusion,0.6925950662854088,0.4717103369496425,False,ECCU,Eastern Caribbean (OECS / ECCU),financial_inclusion,False,0.6666666666666666,0.20833333333333334
