variant,dimension,category,mass,share
claude,code,SYS.design,1670.5,0.296503372382
claude,code,OPS.resilience,425.333333333,0.0754940243758
claude,code,TECH.DLT,296.583333333,0.0526416992072
claude,code,INTEROP.domestic,246.916666667,0.0438261744172
claude,code,PROC.pilot_learning,227,0.0402910898119
claude,code,ADOPT.experience,220,0.0390486332978
claude,code,PROG.generic,195,0.0346112886049
claude,code,STAB.disintermediation,192,0.0340788072417
claude,code,ACCESS.universal,184.75,0.0327919772808
claude,code,PRIV.ANON,176.25,0.0312832800852
claude,code,AML.LIMIT,172.833333333,0.0306768429772
claude,code,INTEROP.crossborder,165.833333333,0.0294343864631
claude,code,CASH.relation,149.5,0.0265353212638
claude,code,LEGAL.basis,147,0.0260915867945
claude,code,INST.mandate,127,0.0225417110401
claude,code,KYC.INTERMED,119.5,0.0212105076322
claude,code,PRIV.CB.visibility.opaque,97.5,0.0173056443024
claude,code,TECH.TOKEN.considered,81,0.0143769968051
claude,code,PRIV.MIN,80,0.0141995030174
claude,code,PRIV.BAL,77.6666666667,0.0137853508461
claude,code,PRIV.PET,71.5,0.0126908058218
claude,code,OTHER.keep,59,0.0104721334753
claude,code,TECH.TOKEN.decided_yes,58,0.0102946396876
claude,code,PRIV.CB.visibility.transparent,55,0.00976215832446
claude,code,PROG.remuneration_considered,52.5,0.00931842385517
claude,code,AML.MON,47.5,0.00843095491658
claude,code,KYC.IDV,45.5,0.00807596734114
claude,code,KYC.TIER,43,0.00763223287185
claude,code,PROG.remuneration_no,39.3333333333,0.00698142231689
claude,code,PROG.restriction,36,0.00638977635783
claude,code,AML.FATF,28.5,0.00505857294995
claude,code,PRIV.OFF,24,0.00425985090522
claude,code,AML.RISK,12,0.00212992545261
claude,code,TECH.TOKEN.decided_no,8,0.00141995030174
claude,code,PROG.remuneration_yes,2,0.000354987575435
consensus,code,SYS.design,611,0.341722595078
consensus,code,OPS.resilience,201,0.112416107383
consensus,code,ADOPT.experience,115,0.0643176733781
consensus,code,INTEROP.domestic,89,0.0497762863535
consensus,code,TECH.DLT,84,0.0469798657718
consensus,code,STAB.disintermediation,80,0.0447427293065
consensus,code,PROG.generic,65,0.0363534675615
consensus,code,ACCESS.universal,58,0.0324384787472
consensus,code,LEGAL.basis,56,0.0313199105145
consensus,code,CASH.relation,50,0.0279642058166
consensus,code,PRIV.ANON,45,0.0251677852349
consensus,code,INTEROP.crossborder,40,0.0223713646532
consensus,code,AML.LIMIT,38,0.0212527964206
consensus,code,PROC.pilot_learning,35,0.0195749440716
consensus,code,KYC.INTERMED,22,0.0123042505593
consensus,code,PRIV.MIN,22,0.0123042505593
consensus,code,PRIV.CB.visibility.opaque,21,0.011744966443
consensus,code,INST.mandate,19,0.0106263982103
consensus,code,OTHER.keep,19,0.0106263982103
consensus,code,PROG.restriction,15,0.00838926174497
consensus,code,PRIV.PET,13,0.0072706935123
consensus,code,PRIV.BAL,11,0.00615212527964
consensus,code,PRIV.CB.visibility.transparent,11,0.00615212527964
consensus,code,PROG.remuneration_no,11,0.00615212527964
consensus,code,KYC.IDV,10,0.00559284116331
consensus,code,KYC.TIER,10,0.00559284116331
consensus,code,PROG.remuneration_considered,10,0.00559284116331
consensus,code,TECH.TOKEN.considered,8,0.00447427293065
consensus,code,TECH.TOKEN.decided_yes,8,0.00447427293065
consensus,code,AML.MON,5,0.00279642058166
consensus,code,PRIV.OFF,2,0.00111856823266
consensus,code,TECH.TOKEN.decided_no,2,0.00111856823266
consensus,code,AML.FATF,1,0.000559284116331
