variant,jur,analytic_candidate_mass,analytic_contributions,documents,privacy_family_share,privacy_posture,state_privacy_raw,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,score_cash_substitution,score_financial_inclusion,score_sovereignty_competition,score_payment_modernization,score_monetary_transmission,score_state_control,state_privacy_score,score_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite
ensemble,AE,89,139,3,0.214285714286,0.0842696629213,0.642857142857,0.0759791122715,0.0516971279373,0.0845953002611,0.392167101828,0.187075718016,0.193211488251,0.318064335826,0.436051795921,0.678817257473,0.733933163208,0.620506176831,0.692562573085,0.747525309336,0.380509138381,payment_modernization,0.733933163208,0.692562573085,True,ARE,United Arab Emirates,financial_inclusion,False
ensemble,AM,3.5,5,1,,0,0,0.263157894737,0.0842105263158,0,0.0789473684211,0.168421052632,0,0.480499103228,0.541083247535,0.05,0.0940232123853,0.595510536354,0.05,0.403610441696,0.784684615562,monetary_transmission,0.595510536354,0.541083247535,True,ARM,Armenia,financial_inclusion,False
ensemble,AU,133.5,225,3,0.344262295082,0.0533707865169,0.20625,0.0669278996865,0.00501567398119,0.0307210031348,0.272648902821,0.0329153605016,0.0728840125392,0.230267045455,0.0874548843514,0.413714733542,0.431564695671,0.164745193977,0.31561253206,0.5,0.341136363636,payment_modernization,0.431564695671,0.413714733542,True,AUS,Australia,sovereignty_competition,False
ensemble,AW,69,132,1,0.209459459459,0.0413647342995,0.75,0.14125376403,0.192827812757,0.0764850807555,0.478291814947,0.426608267178,0.019709827539,0.496677419476,0.727403165916,0.647686887582,0.95,0.941459105131,0.121828882861,0.808267716535,0.567388808144,payment_modernization,0.95,0.941459105131,True,ABW,Aruba,financial_inclusion,False
ensemble,BO,47.5,73,1,0.588235294118,-0.0802631578947,-0.652173913043,0.0669683257919,0.0850678733032,0.0380090497738,0.413122171946,0.152036199095,0.37963800905,0.141383077516,0.542553923391,0.5,0.79502145112,0.573556247716,0.95,0.098821324531,0.341312217195,state_control,0.95,0.79502145112,False,BOL,Bolivia,financial_inclusion,False
ensemble,BR,27,43,1,0.137931034483,0.111111111111,1,0.027027027027,0,0.0738738738739,0.30990990991,0.0162162162162,0.479279279279,0.162121621622,0.05,0.637663997815,0.496495185975,0.0775750087603,0.95,0.95,0.167567567568,state_control,0.95,0.637663997815,False,BRA,Brazil,monetary_transmission,False
ensemble,BS,80.5,141,1,0.13698630137,-0.0931677018634,-0.625,0.0472156862745,0.130039215686,0.0261960784314,0.256,0.250509803922,0.286745098039,0.107898609354,0.61969686368,0.360142857143,0.402552559186,0.705502373368,0.95,0.11152087108,0.255388235294,state_control,0.95,0.705502373368,False,BHS,Bahamas,financial_inclusion,False
ensemble,CA,309.5,466,9,0.40671641791,0.0965266558966,0.574817518248,0.0812772709242,0.0101547005157,0.0422054740182,0.309877032923,0.0253867512892,0.0931376437921,0.327210807694,0.125830912229,0.516107608291,0.496437895016,0.125445559921,0.389423208683,0.708951663889,0.40355612852,sovereignty_competition,0.516107608291,0.496437895016,True,CAN,Canada,sovereignty_competition,False
ensemble,CN,121,192,4,0.414414414414,0.0650826446281,0.225,0.117884130982,0.0695214105793,0.0862300587741,0.341057934509,0.0495382031906,0.0419815281276,0.358501694997,0.515885832512,0.685092135379,0.584939553998,0.251517081881,0.202994046256,0.51062992126,0.525732112406,sovereignty_competition,0.685092135379,0.584939553998,False,CHN,China,state_control,False
ensemble,CO,1,2,1,,0,0,0,0,0,0,2.8,0,0.0306173393551,0.05,0.05,0.05,0.95,0.05,0.403610441696,0.05,monetary_transmission,0.95,0.05,False,COL,Colombia,monetary_transmission,False
